,X,isocode,country,Confirmed,Deaths,tests,MaxStringencyIndex,MeanStringencyIndex,MaxFacialCoverings,MeanFacialCoverings,MaxStayHome,MeanStayHome,totalvacci0tions,totalbooster,fullyvacnumber,logofConfirmed,logofDeaths,logofTests,logofTotalVaccines,logofTotalBoosters,logofFullyVacci0ted
137,136,ROU,Romania,1786036,57099,1039456225,76.85,56.61223926,4,3.576687117,2,1.147239264,15095967,0,7507203,14.3955092,10.95254188,20.76196355,16.52993818,0,15.83137352
138,137,RUS,Russia,9630296,275824,29754878977,61.57,44.74254658,3,2.357142857,3,0.698757764,130634456,4937582,58695024,16.08042452,12.52751826,24.11625895,18.68791357,15.4123863,17.88786551
139,138,RWA,Rwanda,100414,1343,440218734,74.07,60.15685801,4,2.935779817,2,1.963302752,9440343,0,3452598,11.51705692,7.202661197,19.90278228,16.06050287,0,15.05463755
140,139,SMR,San Marino,6148,93,0,75.93,49.33564417,4,2.530674847,2,1.165644172,47834,0,22379,8.723882105,4.532599493,0,10.77549196,0,10.0158783
141,140,SAU,Saudi Arabia,549912,8844,7092279096,57.41,53.96095092,3,2.886503067,0,0,47701071,0,22620922,13.21751354,9.087494542,22.68227258,17.68046441,0,16.93438579
142,141,SEN,Senegal,74024,1886,197230696,58.8,30.37966967,4,3.241590214,2,0.534375,1910830,0,924182,11.21214464,7.542213463,19.09988465,14.46304826,0,13.7366643
143,142,SRB,Serbia,1263663,11917,1456342693,61.11,46.07532915,3,2.664576803,1,0.75862069,7963609,1554127,3136806,14.0495252,9.385721231,21.09919413,15.89039285,14.25642453,14.95871564
144,143,SYC,Seychelles,23599,127,0,84.26,70.84267267,4,2.757188498,2,1.712538226,179462,0,77951,10.06895962,4.844187086,0,12.09771877,0,11.2638357
145,144,SLE,Sierra Leone,6402,121,0,60.19,43.24924925,4,3.165137615,2,0.865443425,868726,0,361089,8.764365721,4.795790546,0,13.67478305,0,12.79687974
146,145,SGP,Singapore,269211,759,562440583,58.33,50.70634675,4,4,1,1,10083329,0,5012181,12.50325074,6.632001777,20.14779606,16.12639402,0,15.42738171
